ماه,نام کالا,وزن خالص فروش
خرداد,سالامی روسی (97درصد گوشت),206
خرداد,وکیوم بیکن گوساله 300gr(97درصد),184
خرداد,کالباس مامریچ با گوشت نمایشی (55درصد مرغ),181
خرداد,پپرونی 70%گوشت بیگ بوی,146
خرداد,کالباس هامق (40درصد مرغ),138
خرداد,وکیوم بیکن سینه بوقلمون 300gr(98درصد),131
خرداد,استيک ژانويه (97درصد گوشت),125
خرداد,کالباس قارچ و مرغ خانواده 500gr (60درصد),118
خرداد,کالباس ليونر مخلوط خانواده گوشت و مرغ 500gr (55درصد),115
خرداد,وکیوم سوسیس فرانکفورتر (مخلوط گوشت مرغ 80%)400gr,104
خرداد,وکیوم بیکن ران بوقلمون 300gr(98درصد),100
خرداد,کالباس گوشت تنوری کیکی (90درصد گوشت),97
خرداد,وکيوم کالباس سالامي 300gr (90درصد گوشت),89
خرداد,وکيوم کالباس مرغ و قارچ 300gr (60درصد),86
خرداد,وکيوم سوسيس کوکتل شکاري پلاس (90درصد گوشت),85
خرداد,کارد برد کالباس گوشت تنوري 250gr (90درصد گوشت),85
خرداد,فيله بوقلمون فرآوري شده اسپايسي (98درصد),82
خرداد,کارد برد کالباس مرغ تنوري 250gr (90درصد مرغ),80
خرداد,کالباس خشک ممتاز خانواده 500gr (70درصد گوشت),78
خرداد,توری هات داگ آلمانی 500gr(40درصد),75
خرداد,کالباس مرغ خانواده 500gr(70درصد),73
خرداد,وکیوم بال مرغ 300gr(98درصد),73
خرداد,وکيوم کالباس خشک 300gr (60درصد گوشت),71
خرداد,توری کوکتل رویال 500gr(70درصد),71
خرداد,دارفرش بیکن ران بوقلمون 250gr(98درصد),66
خرداد,وکيوم سوسيس کوکتل رويال (70درصد گوشت),66
خرداد,توری کوکتل پنیر 500gr(55درصد),63
خرداد,کالباس مرغ خانواده 500gr(90درصد),63
خرداد,وکيوم سوسيس ساليکسو (90درصد گوشت),60
خرداد,دارفرش سوسيس سوجوک 250gr(90درصد گوشت),57
خرداد,توری کوکتل دودی 500gr(70درصد ),57
خرداد,رولت مخلوط (98درصد گوشت قرمز و بوقلمون),57
خرداد,توری هات داگ رویال 500gr(70درصد),56
خرداد,سوسيس کبابي  (90درصد گوشت),55
خرداد,دارفرش بیکن مخلوط 250gr(97.5درصد),53
خرداد,وکيوم سوسيس کوکتل پنير (55درصد گوشت),52
خرداد,دارفرش کالباس نوروزی 250gr (90درصد گوشت),52
خرداد,وکيوم 200gr کالباس گوشت تنوري (90درصد گوشت),51
خرداد,دارفرش بیکن گوساله 250gr(97درصد),49
خرداد,توری هات داگ پنیر 500gr(55درصد),48
خرداد,وکیوم هندران 300 گرمی (98درصد ران بوقلمون),43
خرداد,ساندویج  گوشت 70%,41
خرداد,ساندویج  مرغ 70%,41
خرداد,کالباس گوشت خانواده 500gr (90درصد),40
خرداد,وکیوم سوسيس کوکتل دودي (70درصد گوشت),35
خرداد,وکيوم سوسيس هات داگ رويال (70درصد گوشت),32
خرداد,کاردبرد گوشت پرسی 200gr(90% گوشت),31
خرداد,کارد برد بیکن سینه بوقلمون 250gr(98درصد),29
خرداد,کارد برد کالباس مرغ پرسی250gr (90% مرغ),29
خرداد,همبرگر  500 گرمی (30 % گوشت قرمز)-قازاریان,29
خرداد,وکیوم ژامبون بوقلمون 300gr(98درصد),29
خرداد,دارفرش سالامی روسی 250gr(97درصد گوشت),27
خرداد,دارفرش کالباس پپروني 250gr (70درصد گوشت),27
خرداد,وکیوم رولت مخلوط 300gr(98درصد گوشت قرمز و بوقلمون),26
خرداد,دارفرش بیکن مرغ 250gr(98درصد),24
خرداد,وکیوم بیکن مرغ 300gr(98درصد),24
خرداد,توری کوکتل لیونر 500gr(55درصد ),21
خرداد,وکيوم کالباس خشک ممتاز گرد 300gr (70درصد گوشت),21
خرداد,کارد برد رولت مخلوط 250gr(98درصد گوشت قرمز و بوقلمون),21
خرداد,وکیوم سوسیس کوکتل وینر دودی 80%,20
خرداد,وکیوم استیک ژانویه 300gr(97درصد گوشت),17
خرداد,وکیوم کالباس لیونر 300gr(55درصد گوشت),14
خرداد,وکيوم سوسيس کبابي (90درصد گوشت),14
خرداد,پاستیرما,14
خرداد,وکيوم سوسيس سوجوک (90درصد گوشت),13
خرداد,کاردبرد فیله بوقلمون فرآوری اسپایسی 250gr(98درصد),12
خرداد,کارد برد استیک ژانویه 250gr(97درصد گوشت),11
خرداد,توری سوسيس کوکتل پنير 1000gr(55درصد گوشت),10
خرداد,وکیوم بیکن مخلوط 300gr(97/5درصد گوشت قرمز و مرغ),9
خرداد,توری کوکتل مرغ 500gr(70درصد),9
خرداد,وکیوم کالباس مخلوط گوشت و مرغ 300gr(90درصد),8
خرداد,توری هات داگ لیونر 500gr(55درصد),8
خرداد,وکیوم سالامی روسی 300gr(97درصد گوشت),6
خرداد,توری سوسیس کوکتل پنیر 2000gr(55درصد),6
خرداد,کالباس مخلوط گوشت و مرغ خانواده 500gr (90درصد),3
خرداد,توری سوسیس هات داگ آلمانی 1000gr(40درصد گوشت),2
خرداد,وکيوم سوسيس کوکتل ليونر (55درصد گوشت),2
خرداد,وکیوم کتف مرغ فرآوری شده 300 گرمی (98درصد),-1
خرداد,کالباس ليونر مديترانه اي ( 55درصد گوشت ),-13
خرداد,سوسیس کوکتل مالوچیک (55درصد مرغ),-23
تیر,سوسیس هات داگ رویال (70درصد گوشت),7735
تیر,کالباس مرغ پرسی (90درصد),6797
تیر,سوسیس کوکتل رویال (70درصد گوشت),6788
تیر,سوسیس هات داگ آلمانی (40درصد گوشت),6515
تیر,کالباس گوشت پرسی (90درصد گوشت),5662
تیر,کالباس خشک (60درصد گوشت),5217
تیر,سوسیس کوکتل لیونر (55درصد گوشت),4986
تیر,ژامبون بوقلمون(98درصد),3670
تیر,هروئیکا بدون استخوان (98درصد سینه مرغ),3378
تیر,کالباس مرغ تنوری (90درصد مرغ),3342
تیر,هندوشکا (98درصد سینه بوقلمون),2685
تیر,سوسیس هات داگ لیونر (55درصد گوشت),2521
تیر,کالباس خشک ممتازگرد (70درصد گوشت),2329
تیر,کالباس لیونر (55درصد گوشت),2304
تیر,سوسیس هات داگ فست فودی 55درصد,2038
تیر,کالباس خشک ممتازقالبی (70درصد گوشت),2026
تیر,سوسیس فسقلی (55درصد گوشت),1959
تیر,بیکن صبحانه (97درصد گوشت),1867
تیر,کالباس مرغ و قارچ (60درصد),1737
تیر,کالباس ليونر مخلوط گوشت و مرغ (55درصد),1708
تیر,کالباس مرغ (70درصد مرغ),1670
تیر,سوسیس کوکتل پنیر (55درصد گوشت),1651
تیر,بیکن سینه بوقلمون (98درصد),1635
تیر,سوسيس کوکتل شکاري پلاس  (90درصد گوشت),1587
تیر,بیکن ران بوقلمون (98درصد),1554
تیر,سوسیس هات داگ پنیر (55درصد گوشت),1400
تیر,سوسیس کوکتل دودی (70درصد گوشت),1281
تیر,بیکن مخلوط (97/5درصد گوشت قرمز و مرغ),1229
تیر,بیکن گوساله (97درصد),1225
تیر,کالباس گوشت تنوری (90درصد گوشت),1089
تیر,ناگت مرغ  ستاره ای,1014
تیر,کالباس پپرونی (70درصد گوشت),825
تیر,بیکن مرغ (98درصد),756
تیر,کالباس مارتادلا (40درصد گوشت),728
تیر,سوسیس بلغاری گوشت (55درصد),697
تیر,سوسیس هات داگ قارچ و پنیر ( ماشروم کراکف ) 55%,645
تیر,سوسیس هات داگ رویال 28 سانتی(70درصد گوشت),610
تیر,کالباس سالامی (90درصد گوشت),530
تیر,شنیسل مرغ,480
تیر,پپرونی 70%گوشت بیگ بوی,466
تیر,وکیوم بیکن صبحانه 300gr(97درصد گوشت),452
تیر,توری سوسیس فسقلی 500gr(55درصد),450
تیر,وکيوم سوسيس کراکو پنير (55درصد گوشت),438
تیر,برگر ممتاز 60% - 500 گرمی -قازاریان,419
تیر,سوسيس کراکو پنير(55درصدگوشت),415
تیر,میت برگر 100% گوشت - 500 گرمی رباط,405
تیر,سوسیس کوکتل مرغ (70درصد),351
تیر,سوسیس هات داگ باچینو (40درصد مرغ),344
تیر,کالباس خشک خانواده 500gr(60درصد گوشت),325
تیر,کالباس نوروزی (90درصد گوشت),322
تیر,کالباس مخلوط گوشت و مرغ (90درصد),313
تیر,مک برگر 450 گرمي -فست فودی (گوشت 90درصد),304
تیر,مک برگر 500گرمي (گوشت 90درصد),282
تیر,هندران (98درصد ران بوقلمون),233
تیر,اسموکی برگر 90% - 500 گرمی - رباط,219
تیر,فيله بوقلمون فرآوري شده معمولي (98درصد),212
تیر,ناگت مرغ  ساده,196
تیر,کالباس پپرونی پیتزایی (55درصد گوشت),188
تیر,وکيوم کالباس گوشت تنوري 300gr (90درصد گوشت),187
تیر,کالباس لیونر خانواده 500gr(55درصد گوشت),187
تیر,کالباس فيله مخلوط گوشت و مرغ (97/5درصد),184
تیر,دارفرش بیکن صبحانه 250gr(97درصد گوشت),166
تیر,وکيوم کالباس مرغ تنوري 300gr (90درصد مرغ),164
تیر,وکیوم بیکن گوساله 300gr(97درصد),155
تیر,کارد برد کالباس گوشت تنوري 250gr (90درصد گوشت),154
تیر,سالامی روسی (97درصد گوشت),153
تیر,پرایم برگر 75% - 500 گرمی  رباط,149
تیر,کارد برد کالباس مرغ تنوري 250gr (90درصد مرغ),134
تیر,بیف برگر 85 % -500 گرمی  رباط,133
تیر,وکيوم سوسيس کوکتل شکاري پلاس (90درصد گوشت),110
تیر,وکيوم 200gr کالباس گوشت تنوري (90درصد گوشت),110
تیر,همبرگر  500 گرمی (30 % گوشت قرمز)-قازاریان,104
تیر,وکیوم بیکن سینه بوقلمون 300gr(98درصد),103
تیر,سوسيس کبابي  (90درصد گوشت),90
تیر,توری هات داگ رویال 500gr(70درصد),77
تیر,فيله بوقلمون فرآوري شده اسپايسي (98درصد),77
تیر,وکيوم کالباس مرغ و قارچ 300gr (60درصد),74
تیر,وکيوم کالباس سالامي 300gr (90درصد گوشت),72
تیر,توری کوکتل رویال 500gr(70درصد),72
تیر,کارد برد کالباس مرغ پرسی250gr (90% مرغ),71
تیر,دارفرش سوسيس سوجوک 250gr(90درصد گوشت),69
تیر,وکيوم کالباس خشک 300gr (60درصد گوشت),66
تیر,دارفرش بیکن ران بوقلمون 250gr(98درصد),65
تیر,کاردبرد گوشت پرسی 200gr(90% گوشت),65
تیر,سوسيس هات داگ باربيکيو گوشت (90درصد),60
تیر,توری کوکتل دودی 500gr(70درصد ),60
تیر,کالباس قارچ و مرغ خانواده 500gr (60درصد),59
تیر,وکیوم بیکن ران بوقلمون 300gr(98درصد),54
تیر,کالباس گوشت تنوری کیکی (90درصد گوشت),50
تیر,توری هات داگ آلمانی 500gr(40درصد),49
تیر,کالباس مامریچ با گوشت نمایشی (55درصد مرغ),47
تیر,توری کوکتل پنیر 500gr(55درصد),46
تیر,دارفرش بیکن مخلوط 250gr(97.5درصد),45
تیر,دارفرش کالباس پپروني 250gr (70درصد گوشت),43
تیر,وکیوم سوسیس فرانکفورتر (مخلوط گوشت مرغ 80%)400gr,42
تیر,کالباس مرغ خانواده 500gr(90درصد),42
تیر,دارفرش بیکن گوساله 250gr(97درصد),41
تیر,کالباس گوشت خانواده 500gr (90درصد),40
تیر,کالباس خشک ممتاز خانواده 500gr (70درصد گوشت),40
تیر,وکيوم سوسيس ساليکسو (90درصد گوشت),39
تیر,وکيوم سوسيس کوکتل رويال (70درصد گوشت),38
تیر,کارد برد بیکن سینه بوقلمون 250gr(98درصد),38
تیر,وکیوم سوسيس کوکتل دودي (70درصد گوشت),36
تیر,وکیوم بال مرغ 300gr(98درصد),36
تیر,سوسیس کوکتل مالوچیک (55درصد مرغ),35
تیر,وکيوم سوسيس کوکتل پنير (55درصد گوشت),34
تیر,وکيوم سوسيس هات داگ رويال (70درصد گوشت),33
تیر,توری کوکتل لیونر 500gr(55درصد ),33
تیر,کارد برد رولت مخلوط 250gr(98درصد گوشت قرمز و بوقلمون),31
تیر,رولت مخلوط (98درصد گوشت قرمز و بوقلمون),30
تیر,دارفرش کالباس نوروزی 250gr (90درصد گوشت),26
تیر,توری هات داگ پنیر 500gr(55درصد),26
تیر,وکیوم ژامبون بوقلمون 300gr(98درصد),24
تیر,کاردبرد فیله بوقلمون فرآوری اسپایسی 250gr(98درصد),22
تیر,وکیوم استیک ژانویه 300gr(97درصد گوشت),22
تیر,وکیوم هندران 300 گرمی (98درصد ران بوقلمون),21
تیر,استيک ژانويه (97درصد گوشت),21
تیر,دارفرش سالامی روسی 250gr(97درصد گوشت),19
تیر,کارد برد استیک ژانویه 250gr(97درصد گوشت),19
تیر,وکیوم رولت مخلوط 300gr(98درصد گوشت قرمز و بوقلمون),17
تیر,دارفرش بیکن مرغ 250gr(98درصد),15
تیر,پاستیرما,14
تیر,وکيوم سوسيس کبابي (90درصد گوشت),13
تیر,وکیوم بیکن مرغ 300gr(98درصد),11
تیر,وکیوم کالباس لیونر 300gr(55درصد گوشت),11
تیر,وکيوم کالباس خشک ممتاز گرد 300gr (70درصد گوشت),10
تیر,کالباس مرغ خانواده 500gr(70درصد),9
تیر,توری هات داگ لیونر 500gr(55درصد),9
تیر,وکیوم بیکن مخلوط 300gr(97/5درصد گوشت قرمز و مرغ),7
تیر,بیکن مرغ (98%)-نیم رول,6
تیر,بیکن مخلوط (97/5% گوشت قرمز و مرغ)-نیم رول,5
تیر,توری کوکتل مرغ 500gr(70درصد),4
تیر,وکيوم سوسيس سوجوک (90درصد گوشت),4
تیر,کالباس هامق (40درصد مرغ),4
تیر,کالباس ليونر مخلوط خانواده گوشت و مرغ 500gr (55درصد),4
تیر,بیکن ران بوقلمون (98%)-نیم رول,3
تیر,بیکن گوساله (97%)-نیم رول,3
تیر,وکیوم کالباس مخلوط گوشت و مرغ 300gr(90درصد),2
تیر,وکیوم سالامی روسی 300gr(97درصد گوشت),2
تیر,وکيوم سوسيس کوکتل ليونر (55درصد گوشت),1
تیر,توری هات داگ باچینو توری 500gr(40درصد),0
تیر,کالباس مرغ خانواده (70درصد),0
تیر,کالباس قارچ و مرغ خانواده (60درصد),0
تیر,کالباس لیونر خانواده (55درصد گوشت),0
تیر,کالباس خشک خانواده (60درصد گوشت),0
تیر,کالباس ليونر مديترانه اي ( 55درصد گوشت ),0
تیر,کالباس مخلوط گوشت و مرغ خانواده 500gr (90درصد),-2
تیر,وکیوم سوسیس کوکتل وینر دودی 80%,-6
مرداد,سوسیس هات داگ رویال (70درصد گوشت),9357
مرداد,کالباس مرغ پرسی (90درصد),8543
مرداد,سوسیس کوکتل رویال (70درصد گوشت),7402
مرداد,سوسیس هات داگ آلمانی (40درصد گوشت),7269
مرداد,ژامبون بوقلمون(98درصد),7020
مرداد,کالباس گوشت پرسی (90درصد گوشت),6700
مرداد,سوسیس کوکتل لیونر (55درصد گوشت),5699
مرداد,کالباس خشک (60درصد گوشت),5408
مرداد,کالباس مرغ تنوری (90درصد مرغ),3853
مرداد,هروئیکا بدون استخوان (98درصد سینه مرغ),3612
مرداد,هندوشکا (98درصد سینه بوقلمون),2825
مرداد,کالباس خشک ممتازقالبی (70درصد گوشت),2720
مرداد,سوسیس هات داگ لیونر (55درصد گوشت),2620
مرداد,کالباس مرغ و قارچ (60درصد),2604
مرداد,کالباس خشک ممتازگرد (70درصد گوشت),2523
مرداد,بیکن صبحانه (97درصد گوشت),2192
مرداد,کالباس مرغ (70درصد مرغ),2142
مرداد,کالباس لیونر (55درصد گوشت),2088
مرداد,سوسیس هات داگ فست فودی 55درصد,2019
مرداد,سوسیس فسقلی (55درصد گوشت),1934
مرداد,سوسیس کوکتل پنیر (55درصد گوشت),1913
مرداد,سوسيس کوکتل شکاري پلاس  (90درصد گوشت),1887
مرداد,بیکن سینه بوقلمون (98درصد),1775
مرداد,کالباس ليونر مخلوط گوشت و مرغ (55درصد),1760
مرداد,ناگت مرغ  ستاره ای,1682
مرداد,سوسیس کوکتل دودی (70درصد گوشت),1358
مرداد,بیکن گوساله (97درصد),1278
مرداد,بیکن ران بوقلمون (98درصد),1269
مرداد,کالباس گوشت تنوری (90درصد گوشت),1130
مرداد,سوسیس هات داگ پنیر (55درصد گوشت),1118
مرداد,کالباس پپرونی (70درصد گوشت),1066
مرداد,سوسیس هات داگ رویال 28 سانتی(70درصد گوشت),1062
مرداد,بیکن مخلوط (97/5درصد گوشت قرمز و مرغ),1032
مرداد,بیکن مرغ (98درصد),977
مرداد,کالباس مارتادلا (40درصد گوشت),857
مرداد,سوسیس بلغاری گوشت (55درصد),776
مرداد,شنیسل مرغ,668
مرداد,مک برگر 450 گرمي -فست فودی (گوشت 90درصد),647
مرداد,سوسيس کراکو پنير(55درصدگوشت),631
مرداد,توری سوسیس فسقلی 500gr(55درصد),595
مرداد,همبرگر  500 گرمی (30 % گوشت قرمز)-قازاریان,549
مرداد,کالباس سالامی (90درصد گوشت),539
مرداد,وکیوم بیکن صبحانه 300gr(97درصد گوشت),538
مرداد,میت برگر 100% گوشت - 500 گرمی رباط,533
مرداد,وکيوم سوسيس کراکو پنير (55درصد گوشت),483
مرداد,کالباس پپرونی پیتزایی (55درصد گوشت),480
مرداد,کالباس نوروزی (90درصد گوشت),479
مرداد,سوسیس کوکتل مرغ (70درصد),466
مرداد,سوسیس هات داگ قارچ و پنیر ( ماشروم کراکف ) 55%,451
مرداد,سوسیس هات داگ باچینو (40درصد مرغ),431
مرداد,برگر ممتاز 60% - 500 گرمی -قازاریان,417
مرداد,کالباس خشک خانواده 500gr(60درصد گوشت),299
مرداد,مک برگر 500گرمي (گوشت 90درصد),298
مرداد,پپرونی 70%گوشت بیگ بوی,294
مرداد,وکيوم کالباس گوشت تنوري 300gr (90درصد گوشت),290
مرداد,کالباس لیونر خانواده 500gr(55درصد گوشت),265
مرداد,دارفرش بیکن صبحانه 250gr(97درصد گوشت),252
مرداد,وکيوم کالباس مرغ تنوري 300gr (90درصد مرغ),247
مرداد,فيله بوقلمون فرآوري شده معمولي (98درصد),239
مرداد,کالباس مخلوط گوشت و مرغ (90درصد),237
مرداد,وکیوم بیکن گوساله 300gr(97درصد),209
مرداد,هندران (98درصد ران بوقلمون),191
مرداد,توری کوکتل رویال 500gr(70درصد),175
مرداد,کالباس فيله مخلوط گوشت و مرغ (97/5درصد),174
مرداد,توری هات داگ رویال 500gr(70درصد),167
مرداد,کالباس مامریچ با گوشت نمایشی (55درصد مرغ),163
مرداد,سالامی روسی (97درصد گوشت),159
مرداد,وکيوم سوسيس کوکتل شکاري پلاس (90درصد گوشت),149
مرداد,توری کوکتل دودی 500gr(70درصد ),133
مرداد,وکیوم بیکن سینه بوقلمون 300gr(98درصد),131
مرداد,توری هات داگ آلمانی 500gr(40درصد),123
مرداد,ناگت مرغ  ساده,116
مرداد,توری کوکتل لیونر 500gr(55درصد ),115
مرداد,توری هات داگ لیونر 500gr(55درصد),113
مرداد,توری کوکتل پنیر 500gr(55درصد),110
مرداد,کالباس قارچ و مرغ خانواده 500gr (60درصد),104
مرداد,دارفرش بیکن گوساله 250gr(97درصد),96
مرداد,دارفرش بیکن ران بوقلمون 250gr(98درصد),87
مرداد,دارفرش کالباس پپروني 250gr (70درصد گوشت),86
مرداد,کالباس گوشت تنوری کیکی (90درصد گوشت),85
مرداد,فيله بوقلمون فرآوري شده اسپايسي (98درصد),81
مرداد,وکيوم سوسيس کوکتل رويال (70درصد گوشت),79
مرداد,کالباس ليونر مخلوط خانواده گوشت و مرغ 500gr (55درصد),78
مرداد,وکيوم 200gr کالباس گوشت تنوري (90درصد گوشت),75
مرداد,وکیوم بیکن ران بوقلمون 300gr(98درصد),74
مرداد,وکيوم کالباس سالامي 300gr (90درصد گوشت),71
مرداد,دارفرش بیکن مخلوط 250gr(97.5درصد),71
مرداد,وکيوم کالباس مرغ و قارچ 300gr (60درصد),70
مرداد,دارفرش کالباس نوروزی 250gr (90درصد گوشت),69
مرداد,سوسيس هات داگ باربيکيو گوشت (90درصد),67
مرداد,وکیوم بال مرغ 300gr(98درصد),66
مرداد,پنیر رشته ای دودی /1001چیز /100گرمی,65
مرداد,کالباس گوشت خانواده 500gr (90درصد),65
مرداد,توری هات داگ پنیر 500gr(55درصد),63
مرداد,دارفرش سوسيس سوجوک 250gr(90درصد گوشت),61
مرداد,کارد برد کالباس مرغ پرسی250gr (90% مرغ),58
مرداد,سوسيس کبابي  (90درصد گوشت),55
مرداد,کارد برد کالباس مرغ تنوري 250gr (90درصد مرغ),52
مرداد,پنیر رشته ای  تند /1001چیز /100گرمی,51
مرداد,وکيوم کالباس خشک 300gr (60درصد گوشت),50
مرداد,وکیوم سوسیس فرانکفورتر (مخلوط گوشت مرغ 80%)400gr,50
مرداد,وکيوم سوسيس هات داگ رويال (70درصد گوشت),50
مرداد,وکيوم سوسيس کوکتل پنير (55درصد گوشت),49
مرداد,پنیر رشته ای پیاز جعفری  /1001چیز /100گرمی,48
مرداد,وکیوم سوسيس کوکتل دودي (70درصد گوشت),47
مرداد,دارفرش سالامی روسی 250gr(97درصد گوشت),46
مرداد,کالباس مرغ خانواده 500gr(70درصد),46
مرداد,وکیوم ژامبون بوقلمون 300gr(98درصد),45
مرداد,کالباس مرغ خانواده 500gr(90درصد),44
مرداد,کاردبرد گوشت پرسی 200gr(90% گوشت),43
مرداد,دارفرش بیکن مرغ 250gr(98درصد),42
مرداد,وکیوم رولت مخلوط 300gr(98درصد گوشت قرمز و بوقلمون),38
مرداد,وکيوم سوسيس ساليکسو (90درصد گوشت),38
مرداد,کالباس خشک ممتاز خانواده 500gr (70درصد گوشت),37
مرداد,پرایم برگر 75% - 500 گرمی  رباط,37
مرداد,کارد برد کالباس گوشت تنوري 250gr (90درصد گوشت),37
مرداد,رولت مخلوط (98درصد گوشت قرمز و بوقلمون),35
مرداد,کارد برد بیکن سینه بوقلمون 250gr(98درصد),35
مرداد,وکیوم استیک ژانویه 300gr(97درصد گوشت),34
مرداد,اسموکی برگر 90% - 500 گرمی - رباط,29
مرداد,پنیر موزارلا فینگر  /1001چیز /200گرمی,27
مرداد,استيک ژانويه (97درصد گوشت),27
مرداد,وکيوم کالباس خشک ممتاز گرد 300gr (70درصد گوشت),26
مرداد,وکیوم هندران 300 گرمی (98درصد ران بوقلمون),25
مرداد,وکیوم بیکن مرغ 300gr(98درصد),23
مرداد,کارد برد رولت مخلوط 250gr(98درصد گوشت قرمز و بوقلمون),23
مرداد,پنیر موزارلا مدادی /1001چیز /200گرمی,19
مرداد,کاردبرد فیله بوقلمون فرآوری اسپایسی 250gr(98درصد),17
مرداد,وکيوم سوسيس سوجوک (90درصد گوشت),14
مرداد,بیکن صبحانه (97% گوشت)-نیم رول,13
مرداد,توری کوکتل مرغ 500gr(70درصد),13
مرداد,وکیوم بیکن مخلوط 300gr(97/5درصد گوشت قرمز و مرغ),13
مرداد,کارد برد استیک ژانویه 250gr(97درصد گوشت),12
مرداد,وکيوم سوسيس کبابي (90درصد گوشت),12
مرداد,وکیوم کالباس لیونر 300gr(55درصد گوشت),11
مرداد,سوسیس کوکتل مالوچیک (55درصد مرغ),9
مرداد,وکیوم کالباس مخلوط گوشت و مرغ 300gr(90درصد),9
مرداد,وکیوم سالامی روسی 300gr(97درصد گوشت),6
مرداد,کالباس مخلوط گوشت و مرغ خانواده 500gr (90درصد),5
مرداد,پاستیرما,3
مرداد,بیکن گوساله (97%)-نیم رول,3
مرداد,وکيوم سوسيس کوکتل ليونر (55درصد گوشت),2
مرداد,توری سوسیس کوکتل پنیر 2000gr(55درصد),0
مرداد,وکیوم سوسیس کوکتل وینر دودی 80%,-1
مرداد,بیف برگر 85 % -500 گرمی  رباط,-111